country,educationalLevel,region,name,hasCCAS,about,websites,websitesLabel,adoptionYear,mechanisms,listLength,participatingInstitutions,priorities,latitude,longitude,gobVerified
FIN,secondary,Europe & central Asia,Finland,1.0,Finland has a coordinated system for secondary education. The system covers the entire country and includes both public and some private schools. The applicant is selected to the program that is ranked highest and the application points are sufficient for. The algorithm used is a variant of the school-proposing DA algorithm. The tie-breaker rules use student preferences first and then GPA.,[https://opintopolku.fi/konfo/en/],[opintopolku.fi/konfo/en/],2008.0,[da],[7],[other],[academic],63.2467777,25.9209164,0
FJI,tertiary,East Asia & Pacific,Fiji,,,,,,,,,,-18.1239696,179.0122737,0
FRA,secondary,Europe & central Asia,France,1.0,"France employs a coordinated system, overseen by academies (districts). A coordinated system was first implemented in 2007, but was first implemented online in 2013. Each academy defines how many preferences an applicant can make. Priority criteria are set at national and academic level. At the national level, the main criterion that delivers allocation priority is geographic sectors.",,,2007.0,[da],[8],[public],"[family,academic,distance,sen,ses]",46.603354,1.8883335,0
GAB,primary,Sub-Saharan Africa,Gabon,0.0,This country lacks a coordinated system.,,,,,,,,-0.8999695,11.6899699,0
GBR,secondary,Europe & central Asia,United Kingdom,1.0,"In the UK, different regions have different coordinated admissions systems. School admissions in all UK regions prioritize factors such as proximity, siblings and special needs.","[https://www.eani.org.uk/parents/admissions/admissions-videos-and-guidance ,https://eadmissions.birmingham.gov.uk/prefs.php ,https://parent.bristol.gov.uk/web/portal/pages/parents/admissions ,https://parentportal.leeds.gov.uk/Synergy/Enquiries/Citizen/citizen.aspx/admissions-signin ,https://www.eadmissions.org.uk/ ,https://www.manchester.gov.uk/info/500322/secondary_school_admissions ,www. sheffield.gov.uk/home/schoolschildcare/apply-school-place]","[eani.org.uk/parents/admissions/admissions-videos-and-guidance ,eadmissions.birmingham.gov.uk/prefs.php ,parent.bristol.gov.uk/web/portal/pages/parents/admissions ,parentportal.leeds.gov.uk/Synergy/Enquiries/Citizen/citizen.aspx/admissions-signin ,eadmissions.org.uk/ ,manchester.gov.uk/info/500322/secondary_school_admissions , sheffield.gov.uk/home/schoolschildcare/apply-school-place]",2005.0,"[da,boston]","[3, 6, 5, Unlimited]","[all,public,other]","[family,distance,sen]",54.7023545,-3.2765753,0
GEO,secondary,Europe & central Asia,Georgia,0.0,This country lacks a coordinated system.,,,,,,,,32.3293809,-83.1137366,0
GHA,primary,Sub-Saharan Africa,Ghana,0.0,This country lacks a coordinated system.,,,,,,,,8.0300284,-1.0800271,0
GIN,primary,Sub-Saharan Africa,Guinea,0.0,This country lacks a coordinated system.,,,,,,,,10.7226226,-10.7083587,0
GMB,secondary,Sub-Saharan Africa,Gambia,0.0,This country lacks a coordinated system.,,,,,,,,13.470062,-15.4900464,0
GNB,secondary,Sub-Saharan Africa,Guinea-Bissau,0.0,This country lacks a coordinated system.,,,,,,,,11.815215,-15.2351044,0
GNQ,tertiary,Sub-Saharan Africa,Eq. Guinea,,,,,,,,,,1.6508001,10.267895,0
GRC,secondary,Europe & central Asia,Greece,0.0,This country lacks a coordinated system.,,,,,,,,43.2097838,-77.6930602,0
GRL,secondary,North America,Greenland,,,,,,,,,,35.9948477,-94.1796014,0
GTM,primary,LAC,Guatemala,0.0,This country lacks a coordinated system.,,,,,,,,15.5855545,-90.345759,0
GUY,secondary,LAC,Guyana,,,,,,,,,,4.8417097,-58.6416891,0
GZA,tertiary,Middle East & North Africa,West Bank and Gaza,0.0,This country lacks a coordinated system.,,,,,,,,31.9049661,35.2023413,0
HKG,secondary,East Asia & Pacific,Hong Kong,1.0,"Hong Kong's secondary admission system involves two stages. The first stage is uncoordinated (30% of vacancies) and admission criteria are set by schools. The second stage is coordinated, where 10% of vacancies allow unrestricted school choices (up to 3 schools in or outside the school net), and the remaining 90% involve restricted school choices (up to 30 schools within the school net).",[https://esspa.edb.gov.hk/login?lang=en],[esspa.edb.gov.hk/login?lang=en],1978.0,[boston],[30],[other],"[academic,distance]",22.2793278,114.1628131,0
HND,secondary,LAC,Honduras,0.0,This country lacks a coordinated system.,,,,,,,,15.2572432,-86.0755145,0
HRV,secondary,Europe & central Asia,Croatia,1.0,"Croatia has a coordinated system for all type of secondary schools. The application process occurs in multiple periods. The common element of evaluation include grades in Croatian language, mathematics and the first foreign language. Additional evaluation elements, such as special skills, are taken into account. For programs lasting at least four years, schools may set a point threshold.",[https://srednje.e-upisi.hr],[srednje.e-upisi.hr],,[da],[6],[all],[academic],45.3658443,15.6575209,0
HTI,primary,LAC,Haiti,0.0,This country lacks a coordinated system.,,,,,,,,19.1399952,-72.3570972,0
HUN,tertiary,Europe & central Asia,Hungary,1.0,"Hungary has a coordinated system at the national level. The mechanism uses a scoring system based on secondary school grades, exams, and additional factors. Each student is admitted to the first program on her list where she achieves the score-limit, resembling Gale Shapley's algorithm. When there is a tie between applicants, they are either all accepted or all rejected.",[ https://www.felvi.hu/],[ felvi.hu/],1985.0,[da],[6],[all],"[academic,sen]",47.1817585,19.5060937,0
IDN,tertiary,East Asia & Pacific,Indonesia,1.0,"Indonesia's state-owned universities admit students via the platform Seleksi Nasional Masuk Perguruan Tinggi Negeri (SNMPTN) based on high school records or the computer-based exam. SNMPTN allows two study program choices regionally, and admissions prioritize academic excellence, economic need, and regional balance.",[https://portal.ltmpt.ac.id page],[portal.ltmpt.ac.id page],,,[2],[public],[academic],-2.4833826,117.8902853,0
IND,tertiary,South Asia,India,1.0,"In India, several entrance examinations determine admission to higher education institutions. JEE for engineering courses, NEET for medical programs, CAT for business schools, CLAT for law schools, NATA for architecture courses and AIEEA for agriculture programs. Allocation is usually given on the basis of academic merit and examinations.","[https://neet.nta.nic.in/about-department/introduction/,https://iimcat.ac.in/per/g01/pub/756/ASM/WebPortal/1/index.html?756@@1@@1,http://www.nata.in/,http://icar.nta.ac.in/,https://consortiumofnlus.ac.in/,https://jeemain.nta.nic.in/about-jeemain-2023/]","[neet.nta.nic.in/about-department/introduction/,iimcat.ac.in/per/g01/pub/756/ASM/WebPortal/1/index.html?756@@1@@1,nata.in/,icar.nta.ac.in/,consortiumofnlus.ac.in/,jeemain.nta.nic.in/about-jeemain-2023/]",1984.0,[sd],,"[all,public,other]",[academic],22.3511148,78.6677428,0
IRL,primary,Europe & central Asia,Ireland,0.0,This country lacks a coordinated system.,,,,,,,,52.865196,-7.9794599,0
IRN,primary,Middle East & North Africa,Iran,0.0,This country lacks a coordinated system.,,,,,,,,32.6475314,54.5643516,0
IRQ,secondary,Middle East & North Africa,Iraq,0.0,This country lacks a coordinated system.,,,,,,,,33.0955793,44.1749775,0
ISL,secondary,Europe & central Asia,Iceland,,,,,,,,,,64.9841821,-18.1059013,0
ISR,tertiary,Middle East & North Africa,Israel,0.0,This country lacks a coordinated system.,,,,,,,,30.8124247,34.8594762,0
ITA,primary,Europe & central Asia,Italy,1.0,Italy has a coordinated system at the national level for primary and secondary public schools. Admission criteria are determined by each school; there are no national-level guidelines for admission criteria.,[https://www.istruzione.it/iscrizionionline/index.html],[istruzione.it/iscrizionionline/index.html],2012.0,[boston],[3],[public],,42.6384261,12.674297,0
JAM,tertiary,LAC,Jamaica,0.0,This country lacks a coordinated system.,,,,,,,,18.1850507,-77.3947693,0
JOR,tertiary,Middle East & North Africa,Jordan,1.0,Jordan has a coordinated system for public universities. Programs receive applications through the coordinated system or through a direct application to the university (known as parallel admission). Each applicant choose at least five options and a maximum of thirty. Admission is based on a score derived from a secondary education certificate and an entrance exam.,[http://admhec.gov.jo/],[admhec.gov.jo/],1989.0,[da],[30],[public],[academic],44.6663146,-93.6261918,0
JPN,secondary,East Asia & Pacific,Japan,1.0,"In Japan, municipalities have different admission systems, including: free choice: students can attend any school of their choice within their municipality. Block: Municipalities are divided into blocks, and students can attend any school within the block. Adjacent zone: pupils can attend the school of their choice in the adjacent zone while leaving the conventional school attendance zone.",,,2014.0,,,[public],,36.5748441,139.2394179,0
KAZ,tertiary,Europe & central Asia,Kazakhstan,0.0,This country lacks a coordinated system.,,,,,,,,48.1012954,66.7780818,0
KEN,secondary,Sub-Saharan Africa,Kenya,1.0,"Kenya has a coordinated system for public schools. Candidates are required to choose and rank their preferred schools prior to sitting for the general entrance examination. The selection process is done at four levels: national, extra-county, county or special schools and district. The selection is based on merit, equity and choice of schools made by the applicant.",[https://cba.knec.ac.ke/Account/LogOn?redirect=%2f],[cba.knec.ac.ke/Account/LogOn?redirect=%2f],,[sd],[11],[public],"[academic,distance,ses,gender]",1.4419683,38.4313975,0
KGZ,secondary,Europe & central Asia,Kyrgyzstan,0.0,This country lacks a coordinated system.,,,,,,,,42.4858224,74.714583,0
KHM,tertiary,East Asia & Pacific,Cambodia,0.0,This country lacks a coordinated system.,,,,,,,,12.5433216,104.8144914,0
KOR,tertiary,East Asia & Pacific,South Korea,0.0,This country lacks a coordinated system.,,,,,,,,36.638392,127.6961188,0
KWT,secondary,Middle East & North Africa,Kuwait,0.0,This country lacks a coordinated system.,,,,,,,,29.3796532,47.9734174,0
LAO,primary,East Asia & Pacific,Laos,0.0,This country lacks a coordinated system.,,,,,,,,20.0171109,103.378253,0
LBN,secondary,Middle East & North Africa,Lebanon,0.0,This country lacks a coordinated system.,,,,,,,,40.375713,-76.4626118,0
LBR,primary,Sub-Saharan Africa,Liberia,0.0,This country lacks a coordinated system.,,,,,,,,5.7499721,-9.3658524,0
LBY,secondary,Middle East & North Africa,Libya,0.0,This country lacks a coordinated system.,,,,,,,,26.8234472,18.1236723,0
LKA,tertiary,South Asia,Sri Lanka,1.0,"Admission to public universities is made through a coordinated system managed by the University Grants Commission. The admission is coordinated since 1960s. Sri Lanka has a coordinated system for public universities. The system has three types of quotas: merit (40%), district (55%) and disadvantaged district (5%). Z-scores (normalized scores) rank applicants and are calculated for each quota.",[www.ugc.ac.lk],[ugc.ac.lk],1960s,[da],[Unlimited],[public],"[academic,distance,ses]",7.5554942,80.7137847,0
LSO,tertiary,Sub-Saharan Africa,Lesotho,0.0,This country lacks a coordinated system.,,,,,,,,-29.6039267,28.3350193,0
